project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
Second Poverty Reduction Support Credit (PRSC 2),Zambia,"Other social infrastructure and services|Energy generation and supply|Government and civil society, general",2011,30000000.0
CI: Post Conflict Assistance Project - AF,Cote D'Ivoire,"Other social infrastructure and services|Government and civil society, general",2013,30987415.2257
JO - Amman Dev Corridor Add'l Financing,Jordan,Transport and storage,2008,34451531.5653
Sustainable Land Management Project-II,Ethiopia,"Agriculture, forestry, fishing|Agriculture",2013,51645692.0428
Urban III - Phase II,Guinea,"Water supply and sanitation|Transport and storage|Government and civil society, general",2007,16007103.2268
AF-Emergency Support Critical Education Health and Nutrition Services,Madagascar,Other social infrastructure and services|Health,2014,10000000.0
GM-Budget Support -DPL (First in the series),Gambia,"Communications|Basic education|Government and civil society, general|Energy generation and supply|Secondary education",2012,5891062.29923
Cape Verde - Transport Sector Reform Project,Cabo Verde,Transport and storage,2013,19625362.9763
SN:Casamance Development Pole Project,Senegal,"Other social infrastructure and services|Industry|Agriculture|Transport and storage|Agriculture, forestry, fishing",2013,41316553.6342
Malawi - Financial Sector Technical Assistance Project,Malawi,Banking and financial services,2011,28200000.0
Health Sector Development Program,Tanzania,"Health, general|Health|Government and civil society, general",2000,28108922.5348
Revenue Enhancement and Fiscal Management TA Supplemental Loan,Lebanon,"Government and civil society, general",2003,6382326.39892
Global Distance Learning Center,Mauritania,Communications,2001,4123166.63396
Ghana Skills and Technology Development Project,Ghana,"Education, level unspecified|Communications|Secondary education|Government and civil society, general|Post-secondary education",2011,70000000.0
RY-Rural Energy Access Project,Yemen,Energy generation and supply,2009,25874118.2747
Urban Water Supply and Sanitation Project,Yemen,"Water supply and sanitation|Government and civil society, general",2002,159839762.851
RY-PUBLIC WORKS III ADDITIONAL FINANCING,Yemen,"Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Education, level unspecified",2008,31152536.4215
Urban Water Sector Project,Burkina Faso,Water supply and sanitation,2009,82797178.4792
MZ-Social Protection project,Mozambique,Other social infrastructure and services,2013,51645692.0428
Access to Finance for SMEs - Additional Financing,Turkey,Banking and financial services,2008,208797161.002
Innovative Access to Finance,Turkey,Banking and financial services,2014,250000000.0
Rapid Response Child-Focused Social Cash Transfer and Nutrition Security Project,Senegal,"Other social infrastructure and services|Education, level unspecified|Health|Health, general",2009,10349647.3099
Mali Reconstruction and Economic Recovery,Mali,"Agriculture, forestry, fishing|Health|Transport and storage|Government and civil society, general|Education, level unspecified",2013,103291384.08600001
Dem Rep Congo - Western Growth Poles,Democratic Republic of Congo,"Communications|Industry|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",2013,113620522.494
SECOND MINING SECTOR CAPACITY BUILDING PROJECT,Mauritania,"Government and civil society, general|Mineral resources and mining",2003,21675825.5058
Promoting Innovation for Inclusive Financial Access,Egypt,Banking and financial services,2014,300000000.0
First Development Policy Loan in support of the Plan Maroc Vert,Morocco,"Agriculture, forestry, fishing|Industry|Agriculture",2011,205000000.0
IRRIGATION IMPROVEMENT PROJECT,Yemen,"Government and civil society, general|Agriculture|General environmental protection|Transport and storage",2000,27214547.7269
Ain Temouchent Emergency Earthquake Recovery Project,Algeria,"Water supply and sanitation|Other social infrastructure and services|Other|Government and civil society, general|Transport and storage",2000,106635030.671
Rwanda Transport Sector Support Project Additional Financing,Rwanda,Transport and storage,2011,11000000.0
Mali RRSC,Mali,"Other social infrastructure and services|Government and civil society, general|Energy generation and supply|Agriculture, forestry, fishing",2013,51645692.0428
Emergency MS Rehabilitation & Recovery ERL Second Additional Financing,Democratic Republic of Congo,Energy generation and supply,2007,12805682.5814
IDA REF- ADJ(FRDP III),Malawi,"Education, level unspecified|Communications|Agriculture|Government and civil society, general|Health",2000,638839.148518
"ProMaputo, Maputo Municipal Development Program",Mozambique,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",2007,32014206.4535
Sierra Leone - Financial Sector Development Plan Support Project,Sierra Leone,Banking and financial services,2011,4000000.0
Second Restoring Equitable Growth and Employment Programmatic Development Policy Loan,Turkey,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2011,700000000.0
Uganda Poverty Reduction Support Credit 6,Uganda,"Water supply and sanitation|Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2007,133392526.89
CV-Growth & Compet Supplemental Credit,Cabo Verde,"Other social infrastructure and services|Government and civil society, general",2007,3201420.64535
Health Sector Support Project,Chad,"Health, general|Health|Government and civil society, general",2000,53036426.11
Environmental Management and Capacity Building II Additional Finance,Uganda,Water supply and sanitation|Forestry|Energy generation and supply,2008,15659787.0751
WAEMU CAPITAL MARKET DEVELOPMENT PROJECT,Africa,Banking and financial services|Transport and storage,2004,112895364.362
Togo - Financial Sector and Governance Project,Togo,Other social infrastructure and services|Banking and financial services,2009,12419576.7719
PRSC III,Senegal,"Other social infrastructure and services|Health|Government and civil society, general",2007,21342804.3023
Financial Sector Infrastructure Project,Mauritius,"Banking and financial services|Government and civil society, general",2000,6068971.91092
FY07 Niger Avian Flu Component in the PAC CDD project (additional financing),Niger,"Health|Agriculture|Government and civil society, general",2007,4802130.96803
Zambia National Response to HIV/AIDS (ZANARA),Zambia,"Other social infrastructure and services|Health|Government and civil society, general",2002,51640538.7672
MR:INTEGRATED DEVELOPMENT PROGRAM FOR IRRIGATED AGRIC. APL # 2,Mauritania,"Industry|Agriculture|Government and civil society, general",2005,44209858.1205
BI - Agro-Pastoral Productivity and Markets Development Project,Burundi,"Agriculture, forestry, fishing|Agriculture|Transport and storage",2010,43916656.1139
Rural Community-Driven Development Project Add Fin,Guinea-Bissau,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",2014,15000000.0
ETHIOPIA GLOBAL FOOD CRISIS RESPONSE PRO,Ethiopia,Agriculture,2008,260996451.252
Abidjan-Lagos Trade and Transport Facilitation Program - APL-2,Africa,Trade policy and regulations|Transport and storage,2012,88365934.4885
Long Term Water Sector Project,Senegal,Water supply and sanitation,2001,156180554.317
Beira Railway Project,Mozambique,Transport and storage,2004,128835875.919
RCIP4 - Regional Communications Infrastructure Program - APL 4,Africa,Communications,2013,22724104.4988
Madagascar Sustainable Health System Development Project,Madagascar,"Other social infrastructure and services|Health|Government and civil society, general",2007,10671402.1512
DZ-BUDGET SYST. MODERN.,Algeria,"Government and civil society, general",2001,29611833.0984
Lesotho Smallholder Agriculture Development Project,Lesotho,Industry|Agriculture,2011,10000000.0
"Irrigation, Rural Livelihoods and Agricultural Development Project",Malawi,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2005,45343444.2261
Niger Disaster Risk Management and Urban Development Project,Niger,"Water supply and sanitation|Agriculture, forestry, fishing|General environmental protection|Government and civil society, general",2013,103291384.08600001
Rural and Private Sector Development,Sierra Leone,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2007,32014206.4535
Public Financial Management Strengthening Technical Assistance Project,Senegal,"Government and civil society, general",2011,15000000.0
Uganda Poverty Reduction Support Credit 5,Uganda,"Water supply and sanitation|Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2006,148243943.425
